Manufacturer,Lens Family,Focal Length,Speed,Close Focus,Mount,Coverage,Image Circle,Anamorphic Squeeze,Outer Diameter,Filter Thread,Weight,Lens Type,Notes,Lens Specialty,photo,description,Hybrid
Atlas,Orion,32mm,T2.0,"2'0""",PL or EF,Super 35,,2x,114mm,N/A,4.7lbs,Prime,"Super 35 Anamorphic <p><a href=""/lens?family=Orion"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/40758c74-955f-4763-9280-48647781495f/5S5A4127Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a75ce39e-8340-47ef-9fd6-9bacb8ac653f/5S5A4101Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5526805a-d243-4acd-89e5-2c0294534e48/5S5A4075Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f4a3e46a-63ea-490b-84d9-c1baff0f153e/5S5A4139Edit+copy+3.jpg?content-type=image%2Fjpeg","Atlas Orion Primes are 2x anamorphic cine lenses that combine classic cinematic character with modern versatility. Known for their smooth focus falloff, and signature anamorphic traits like oval bokeh and blue horizontal lens flares. Designed to be approachable for a wide range of productions, Orion Primes are available with interchangeable PL and EF mounts, making them adaptable to various camera systems and shooting styles.",
Atlas,Orion,40mm,T2.0,"2'0""",PL or EF,Super 35,,2x,114mm,N/A,5.2lbs,Prime,"Super 35 Anamorphic <p><a href=""/lens?family=Orion"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/40758c74-955f-4763-9280-48647781495f/5S5A4127Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a75ce39e-8340-47ef-9fd6-9bacb8ac653f/5S5A4101Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5526805a-d243-4acd-89e5-2c0294534e48/5S5A4075Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f4a3e46a-63ea-490b-84d9-c1baff0f153e/5S5A4139Edit+copy+3.jpg?content-type=image%2Fjpeg","Atlas Orion Primes are 2x anamorphic cine lenses that combine classic cinematic character with modern versatility. Known for their smooth focus falloff, and signature anamorphic traits like oval bokeh and blue horizontal lens flares. Designed to be approachable for a wide range of productions, Orion Primes are available with interchangeable PL and EF mounts, making them adaptable to various camera systems and shooting styles.",
Atlas,Orion,50mm,T2.0,"2'5""",PL or EF,Super 35,,2x,114mm,N/A,5lbs,Prime,"Super 35 Anamorphic <p><a href=""/lens?family=Orion"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/40758c74-955f-4763-9280-48647781495f/5S5A4127Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a75ce39e-8340-47ef-9fd6-9bacb8ac653f/5S5A4101Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5526805a-d243-4acd-89e5-2c0294534e48/5S5A4075Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f4a3e46a-63ea-490b-84d9-c1baff0f153e/5S5A4139Edit+copy+3.jpg?content-type=image%2Fjpeg","Atlas Orion Primes are 2x anamorphic cine lenses that combine classic cinematic character with modern versatility. Known for their smooth focus falloff, and signature anamorphic traits like oval bokeh and blue horizontal lens flares. Designed to be approachable for a wide range of productions, Orion Primes are available with interchangeable PL and EF mounts, making them adaptable to various camera systems and shooting styles.",
Atlas,Orion,65mm,T2.0,"2'9""",PL or EF,Super 35,,2x,114mm,N/A,5lbs,Prime,"Super 35 Anamorphic <p><a href=""/lens?family=Orion"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/40758c74-955f-4763-9280-48647781495f/5S5A4127Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a75ce39e-8340-47ef-9fd6-9bacb8ac653f/5S5A4101Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5526805a-d243-4acd-89e5-2c0294534e48/5S5A4075Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f4a3e46a-63ea-490b-84d9-c1baff0f153e/5S5A4139Edit+copy+3.jpg?content-type=image%2Fjpeg","Atlas Orion Primes are 2x anamorphic cine lenses that combine classic cinematic character with modern versatility. Known for their smooth focus falloff, and signature anamorphic traits like oval bokeh and blue horizontal lens flares. Designed to be approachable for a wide range of productions, Orion Primes are available with interchangeable PL and EF mounts, making them adaptable to various camera systems and shooting styles.",
Atlas,Orion,80mm,T2.0,"3'0""",PL or EF,Super 35,,2x,114mm,N/A,6lbs,Prime,"Super 35 Anamorphic <p><a href=""/lens?family=Orion"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/40758c74-955f-4763-9280-48647781495f/5S5A4127Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a75ce39e-8340-47ef-9fd6-9bacb8ac653f/5S5A4101Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5526805a-d243-4acd-89e5-2c0294534e48/5S5A4075Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f4a3e46a-63ea-490b-84d9-c1baff0f153e/5S5A4139Edit+copy+3.jpg?content-type=image%2Fjpeg","Atlas Orion Primes are 2x anamorphic cine lenses that combine classic cinematic character with modern versatility. Known for their smooth focus falloff, and signature anamorphic traits like oval bokeh and blue horizontal lens flares. Designed to be approachable for a wide range of productions, Orion Primes are available with interchangeable PL and EF mounts, making them adaptable to various camera systems and shooting styles.",
Atlas,Orion,100mm,T2.0,"3'6""",PL or EF,Super 35,,2x,114mm,N/A,6.7lbs,Prime,"Super 35 Anamorphic <p><a href=""/lens?family=Orion"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/40758c74-955f-4763-9280-48647781495f/5S5A4127Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a75ce39e-8340-47ef-9fd6-9bacb8ac653f/5S5A4101Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5526805a-d243-4acd-89e5-2c0294534e48/5S5A4075Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f4a3e46a-63ea-490b-84d9-c1baff0f153e/5S5A4139Edit+copy+3.jpg?content-type=image%2Fjpeg","Atlas Orion Primes are 2x anamorphic cine lenses that combine classic cinematic character with modern versatility. Known for their smooth focus falloff, and signature anamorphic traits like oval bokeh and blue horizontal lens flares. Designed to be approachable for a wide range of productions, Orion Primes are available with interchangeable PL and EF mounts, making them adaptable to various camera systems and shooting styles.",
Canon,Super 16 Zoom,11-165mm,T2.5,3',PL,Super 16,,1x,95mm,N/A,4lbs,Zoom,"<p><a href=""/lens?family=Super%2016%20Zoom"">More Info</a></p>",,https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/7c4924a3-f78a-4373-b221-cd1438f15932/Canon+S16+Zoom.jpg?content-type=image%2Fjpeg,"Introduced in 1996 the Canon 11–165mm is a versatile Super 16 zoom lens offering an impressive 15x zoom range in a compact, lightweight package. Known for its sharpness, smooth parfocal performance, and reliable mechanics, it’s ideal for handheld, documentary, and run-and-gun shooting. With consistent image quality across the zoom range and classic Canon color, it remains a trusted choice for Super 16 cinematography.",
Canon,Cinema Zooms,17-120mm,T2.95,2.8',PL,Super 35,,1x,114mm,N/A,6.8lbs,Zoom,"Detachable servo drive unit. T2.95 at 17-91mm, T3.9 at 120mm. <p><a href=""/lens?family=Cinema%20Zooms"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/752fbd66-3f37-4133-8b3c-d15ec48f8079/5S5A3675+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/86b68c69-cce7-4419-9ceb-93edab3d256a/5S5A3991+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5693d140-40df-4a10-a911-fa44fcec5347/5S5A3975+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e13611e6-0f32-4f31-b7d5-85c189761fdb/5S5A3623+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/c6bfe983-6217-4122-9576-7164a6affa1f/5S5A4011+copy.jpg?content-type=image%2Fjpeg","Canon Cinema Zoom Lenses — including the 17–120mm, 25–250mm, and the remarkable 50–1000mm — deliver exceptional optical performance with the versatility demanded by modern productions. Designed for Super 35 sensors, these cine-servo lenses combine smooth, parfocal zooming with minimal breathing, rich Canon color science, and integrated servo control for precise focus, iris, and zoom operation. Whether for handheld, studio, or long-range applications, Canon’s cinema zooms offer unmatched range, reliability, and cinematic image quality.",
Canon,Cinema Zooms,25-250mm,T2.95,4',PL,Super 35,,1x,114mm,N/A,6.8lbs,Zoom,"Detachable servo drive unit. 37.5-375mm, T3.95, with Built-In 1.5x Extender. <p><a href=""/lens?family=Cinema%20Zooms"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/752fbd66-3f37-4133-8b3c-d15ec48f8079/5S5A3675+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/86b68c69-cce7-4419-9ceb-93edab3d256a/5S5A3991+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5693d140-40df-4a10-a911-fa44fcec5347/5S5A3975+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e13611e6-0f32-4f31-b7d5-85c189761fdb/5S5A3623+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/c6bfe983-6217-4122-9576-7164a6affa1f/5S5A4011+copy.jpg?content-type=image%2Fjpeg","Canon Cinema Zoom Lenses — including the 17–120mm, 25–250mm, and the remarkable 50–1000mm — deliver exceptional optical performance with the versatility demanded by modern productions. Designed for Super 35 sensors, these cine-servo lenses combine smooth, parfocal zooming with minimal breathing, rich Canon color science, and integrated servo control for precise focus, iris, and zoom operation. Whether for handheld, studio, or long-range applications, Canon’s cinema zooms offer unmatched range, reliability, and cinematic image quality.",
Canon,Cinema Zooms,30-105mm,T2.8,"23""",PL or EF,Super 35,,1x,114mm,N/A,5.2lbs,Zoom,"<p><a href=""/lens?family=Cinema%20Zooms"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/752fbd66-3f37-4133-8b3c-d15ec48f8079/5S5A3675+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/86b68c69-cce7-4419-9ceb-93edab3d256a/5S5A3991+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5693d140-40df-4a10-a911-fa44fcec5347/5S5A3975+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e13611e6-0f32-4f31-b7d5-85c189761fdb/5S5A3623+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/c6bfe983-6217-4122-9576-7164a6affa1f/5S5A4011+copy.jpg?content-type=image%2Fjpeg","Canon Cinema Zoom Lenses — including the 17–120mm, 25–250mm, and the remarkable 50–1000mm — deliver exceptional optical performance with the versatility demanded by modern productions. Designed for Super 35 sensors, these cine-servo lenses combine smooth, parfocal zooming with minimal breathing, rich Canon color science, and integrated servo control for precise focus, iris, and zoom operation. Whether for handheld, studio, or long-range applications, Canon’s cinema zooms offer unmatched range, reliability, and cinematic image quality.",
Canon,Cinema Zooms,50-1000mm,T5.0-8.9,"11'6""",PL,Super 35,,1x,136mm,127mm,14.6lbs,Zoom,"Detachable servo drive unit. 75-1500mm, T7.5-13.35, with Built-In 1.5x Extender. <p><a href=""/lens?family=Cinema%20Zooms"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/752fbd66-3f37-4133-8b3c-d15ec48f8079/5S5A3675+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/86b68c69-cce7-4419-9ceb-93edab3d256a/5S5A3991+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5693d140-40df-4a10-a911-fa44fcec5347/5S5A3975+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e13611e6-0f32-4f31-b7d5-85c189761fdb/5S5A3623+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/c6bfe983-6217-4122-9576-7164a6affa1f/5S5A4011+copy.jpg?content-type=image%2Fjpeg","Canon Cinema Zoom Lenses — including the 17–120mm, 25–250mm, and the remarkable 50–1000mm — deliver exceptional optical performance with the versatility demanded by modern productions. Designed for Super 35 sensors, these cine-servo lenses combine smooth, parfocal zooming with minimal breathing, rich Canon color science, and integrated servo control for precise focus, iris, and zoom operation. Whether for handheld, studio, or long-range applications, Canon’s cinema zooms offer unmatched range, reliability, and cinematic image quality.",
Canon,CNE,14mm,T3.1,"9""",PL,Full Frame,,1x,114mm,N/A,2.6lbs,Prime,"<p><a href=""/lens?family=CNE"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2e73dd2d-2334-498d-8e30-580d3a56428d/5S5A4220+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/473adec0-fe25-44d5-93bf-96ba6385502c/5S5A4194+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2d86ae7e-a1f9-477f-96e2-10929fb2c840/5S5A4188+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8135a73e-7489-44d2-a97f-58b76b8839bf/5S5A4202+copy.jpg?content-type=image%2Fjpeg","Canon’s CN-E primes combine clean, sharp optics with fast apertures and reliable mechanics. Known for their natural skin tones and consistent color reproduction, these full-frame cinema lenses deliver modern performance with minimal distortion and edge-to-edge clarity. Our set is PL-modified for maximum compatibility with professional cinema cameras.",
Canon,CNE,24mm,T1.5,"12""",PL,Full Frame,,1x,114mm,N/A,2.4lbs,Prime,"<p><a href=""/lens?family=CNE"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2e73dd2d-2334-498d-8e30-580d3a56428d/5S5A4220+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/473adec0-fe25-44d5-93bf-96ba6385502c/5S5A4194+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2d86ae7e-a1f9-477f-96e2-10929fb2c840/5S5A4188+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8135a73e-7489-44d2-a97f-58b76b8839bf/5S5A4202+copy.jpg?content-type=image%2Fjpeg","Canon’s CN-E primes combine clean, sharp optics with fast apertures and reliable mechanics. Known for their natural skin tones and consistent color reproduction, these full-frame cinema lenses deliver modern performance with minimal distortion and edge-to-edge clarity. Our set is PL-modified for maximum compatibility with professional cinema cameras.",
Canon,CNE,35mm,T1.5,"12""",PL,Full Frame,,1x,114mm,N/A,2.4lbs,Prime,"<p><a href=""/lens?family=CNE"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2e73dd2d-2334-498d-8e30-580d3a56428d/5S5A4220+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/473adec0-fe25-44d5-93bf-96ba6385502c/5S5A4194+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2d86ae7e-a1f9-477f-96e2-10929fb2c840/5S5A4188+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8135a73e-7489-44d2-a97f-58b76b8839bf/5S5A4202+copy.jpg?content-type=image%2Fjpeg","Canon’s CN-E primes combine clean, sharp optics with fast apertures and reliable mechanics. Known for their natural skin tones and consistent color reproduction, these full-frame cinema lenses deliver modern performance with minimal distortion and edge-to-edge clarity. Our set is PL-modified for maximum compatibility with professional cinema cameras.",
Canon,CNE,50mm,T1.3,"18""",PL,Full Frame,,1x,114mm,N/A,2.4lbs,Prime,"<p><a href=""/lens?family=CNE"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2e73dd2d-2334-498d-8e30-580d3a56428d/5S5A4220+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/473adec0-fe25-44d5-93bf-96ba6385502c/5S5A4194+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2d86ae7e-a1f9-477f-96e2-10929fb2c840/5S5A4188+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8135a73e-7489-44d2-a97f-58b76b8839bf/5S5A4202+copy.jpg?content-type=image%2Fjpeg","Canon’s CN-E primes combine clean, sharp optics with fast apertures and reliable mechanics. Known for their natural skin tones and consistent color reproduction, these full-frame cinema lenses deliver modern performance with minimal distortion and edge-to-edge clarity. Our set is PL-modified for maximum compatibility with professional cinema cameras.",
Canon,CNE,85mm,T1.3,"3'4""",PL,Full Frame,,1x,114mm,N/A,2.9lbs,Prime,"<p><a href=""/lens?family=CNE"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2e73dd2d-2334-498d-8e30-580d3a56428d/5S5A4220+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/473adec0-fe25-44d5-93bf-96ba6385502c/5S5A4194+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2d86ae7e-a1f9-477f-96e2-10929fb2c840/5S5A4188+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8135a73e-7489-44d2-a97f-58b76b8839bf/5S5A4202+copy.jpg?content-type=image%2Fjpeg","Canon’s CN-E primes combine clean, sharp optics with fast apertures and reliable mechanics. Known for their natural skin tones and consistent color reproduction, these full-frame cinema lenses deliver modern performance with minimal distortion and edge-to-edge clarity. Our set is PL-modified for maximum compatibility with professional cinema cameras.",
Canon,CNE,135mm,T2.2,"3'4""",PL,Full Frame,,1x,114mm,N/A,3.1lbs,Prime,"<p><a href=""/lens?family=CNE"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2e73dd2d-2334-498d-8e30-580d3a56428d/5S5A4220+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/473adec0-fe25-44d5-93bf-96ba6385502c/5S5A4194+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2d86ae7e-a1f9-477f-96e2-10929fb2c840/5S5A4188+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8135a73e-7489-44d2-a97f-58b76b8839bf/5S5A4202+copy.jpg?content-type=image%2Fjpeg","Canon’s CN-E primes combine clean, sharp optics with fast apertures and reliable mechanics. Known for their natural skin tones and consistent color reproduction, these full-frame cinema lenses deliver modern performance with minimal distortion and edge-to-edge clarity. Our set is PL-modified for maximum compatibility with professional cinema cameras.",
Canon,EF Lenses,11-24mm,f/4,"11""",EF,Full Frame,,1x,N/A,Rear Mount Only,2.6lbs,Zoom,"L-Series <p><a href=""/lens?family=EF%20Lenses"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/05471529-c39b-487d-b61c-83fb8a0b9750/5S5A4435Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39762802-1f79-46bf-92e1-b44a60f39ec8/EFlenses+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/42ef2205-664e-4f87-a2de-94c71c9f3916/EFlenses-2+copy.jpg?content-type=image%2Fjpeg","Canon EF Lenses offer a wide-ranging toolkit for filmmakers and photographers, with options tailored to virtually any shooting scenario. From fast primes to flexible zooms, the lineup includes lenses with advanced features like autofocus, image stabilization, and exceptional low-light performance. Whether you need compact run-and-gun setups, cinematic shallow depth of field, or stabilized long-range coverage, Canon EF glass delivers reliable, high-quality results across a variety of production needs.",Yes
Canon,EF Lenses,14mm,f/2.8,"7.9""",EF,Full Frame,,1x,N/A,Rear Mount Only,1.42lbs,Prime,"L-Series <p><a href=""/lens?family=EF%20Lenses"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/05471529-c39b-487d-b61c-83fb8a0b9750/5S5A4435Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39762802-1f79-46bf-92e1-b44a60f39ec8/EFlenses+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/42ef2205-664e-4f87-a2de-94c71c9f3916/EFlenses-2+copy.jpg?content-type=image%2Fjpeg","Canon EF Lenses offer a wide-ranging toolkit for filmmakers and photographers, with options tailored to virtually any shooting scenario. From fast primes to flexible zooms, the lineup includes lenses with advanced features like autofocus, image stabilization, and exceptional low-light performance. Whether you need compact run-and-gun setups, cinematic shallow depth of field, or stabilized long-range coverage, Canon EF glass delivers reliable, high-quality results across a variety of production needs.",Yes
Canon,EF Lenses,15mm,f/2.8,"8""",EF,Full Frame,,1x,N/A,Rear Mount Only,0.75lbs,Prime,"Fisheye <p><a href=""/lens?family=EF%20Lenses"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/05471529-c39b-487d-b61c-83fb8a0b9750/5S5A4435Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39762802-1f79-46bf-92e1-b44a60f39ec8/EFlenses+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/42ef2205-664e-4f87-a2de-94c71c9f3916/EFlenses-2+copy.jpg?content-type=image%2Fjpeg","Canon EF Lenses offer a wide-ranging toolkit for filmmakers and photographers, with options tailored to virtually any shooting scenario. From fast primes to flexible zooms, the lineup includes lenses with advanced features like autofocus, image stabilization, and exceptional low-light performance. Whether you need compact run-and-gun setups, cinematic shallow depth of field, or stabilized long-range coverage, Canon EF glass delivers reliable, high-quality results across a variety of production needs.",Yes
Canon,EF Lenses,16-35mm,f/2.8,"11""",EF,Full Frame,,1x,N/A,82mm,1.4lbs,Zoom,"L-Series <p><a href=""/lens?family=EF%20Lenses"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/05471529-c39b-487d-b61c-83fb8a0b9750/5S5A4435Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39762802-1f79-46bf-92e1-b44a60f39ec8/EFlenses+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/42ef2205-664e-4f87-a2de-94c71c9f3916/EFlenses-2+copy.jpg?content-type=image%2Fjpeg","Canon EF Lenses offer a wide-ranging toolkit for filmmakers and photographers, with options tailored to virtually any shooting scenario. From fast primes to flexible zooms, the lineup includes lenses with advanced features like autofocus, image stabilization, and exceptional low-light performance. Whether you need compact run-and-gun setups, cinematic shallow depth of field, or stabilized long-range coverage, Canon EF glass delivers reliable, high-quality results across a variety of production needs.",Yes
Canon,EF Lenses,24-70mm,f/2.8,1.25',EF,Full Frame,,1x,N/A,82mm,1.8lbs,Zoom,"L-Series <p><a href=""/lens?family=EF%20Lenses"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/05471529-c39b-487d-b61c-83fb8a0b9750/5S5A4435Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39762802-1f79-46bf-92e1-b44a60f39ec8/EFlenses+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/42ef2205-664e-4f87-a2de-94c71c9f3916/EFlenses-2+copy.jpg?content-type=image%2Fjpeg","Canon EF Lenses offer a wide-ranging toolkit for filmmakers and photographers, with options tailored to virtually any shooting scenario. From fast primes to flexible zooms, the lineup includes lenses with advanced features like autofocus, image stabilization, and exceptional low-light performance. Whether you need compact run-and-gun setups, cinematic shallow depth of field, or stabilized long-range coverage, Canon EF glass delivers reliable, high-quality results across a variety of production needs.",Yes
Canon,EF Lenses,24-105mm,f/4,1.5',EF,Full Frame,,1x,N/A,77mm,1.75lbs,Zoom,"L-Series <p><a href=""/lens?family=EF%20Lenses"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/05471529-c39b-487d-b61c-83fb8a0b9750/5S5A4435Edit+copy+3.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39762802-1f79-46bf-92e1-b44a60f39ec8/EFlenses+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/42ef2205-664e-4f87-a2de-94c71c9f3916/EFlenses-2+copy.jpg?content-type=image%2Fjpeg","Canon EF Lenses offer a wide-ranging toolkit for filmmakers and photographers, with options tailored to virtually any shooting scenario. From fast primes to flexible zooms, the lineup includes lenses with advanced features like autofocus, image stabilization, and exceptional low-light performance. Whether you need compact run-and-gun setups, cinematic shallow depth of field, or stabilized long-range coverage, Canon EF glass delivers reliable, high-quality results across a variety of production needs.",Yes
